at_ismi,kosu,cikti,son_mesafe,son_pist,son_kilo,kilo,son_hipodrom,kaynak_durum,kaynak_url,stil,stil_1_yuzde,stil_2_yuzde,stil_3_yuzde,stil_4_yuzde,stil_veri_sayisi,baskin_stil,not
KAYNARHANIM,1. Koşu,6.94,1200,Kum,55.1,59.0,Diyarbakır,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
MİR SILASI,1. Koşu,7.28,1300,Kum,56.0,55.5,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
SAHA KRALİÇESİ,1. Koşu,7.37,1300,Kum,56.1,55.0,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
KIZIL DORU,1. Koşu,7.43,1300,Kum,57.5,57.5,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
ÖZNİLAY,1. Koşu,7.47,1300,Kum,59.7,59.5,Adana,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
PRENSES DİLARA,1. Koşu,7.49,1700,Kum,56.6,61.0,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
ANANDİ,1. Koşu,7.67,1900,Kum,57.0,60.0,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
KRALİÇEANNA,1. Koşu,7.80,1800,Kum,55.0,56.5,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
NERVOOUS GIRL,1. Koşu,8.15,1300,Kum,55.5,52.8,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
ÖZRÜBA,1. Koşu,8.23,1400,Kum,57.5,59.5,Adana,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
GERÇEK MAVİ,1. Koşu,8.29,1400,Kum,53.5,61.0,Şanlıurfa,error,https://yenibeygir.com/27-04-2026/sanliurfa/1/stiller,,,,,,,,<urlopen error [Errno 11001] getaddrinfo failed>
BACK TO SILENCE,2. Koşu,6.59,1400,Kum,58.0,58.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:14% / stil_2:14% / stil_3:71% / stil_4:0%,14,14,71,0,7,stil_3,
AEMOND,2. Koşu,6.61,1400,Kum,58.0,58.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:0% / stil_2:14% / stil_3:86% / stil_4:0%,0,14,86,0,7,stil_3,
DÜŞES,2. Koşu,6.68,1300,Kum,56.0,54.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:31% / stil_2:8% / stil_3:54% / stil_4:8%,31,8,54,8,13,stil_3,
KING OF DEEP,2. Koşu,6.76,1400,Kum,60.0,60.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:5% / stil_2:20% / stil_3:60% / stil_4:15%,5,20,60,15,20,stil_3,
FACE OF FREEDOM,2. Koşu,6.84,1400,Kum,58.1,58.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:0% / stil_2:50% / stil_3:50% / stil_4:0%,0,50,50,0,2,stil_2,
UMAR BEY,2. Koşu,6.88,1400,Kum,54.0,57.0,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:25% / stil_2:75% / stil_3:0% / stil_4:0%,25,75,0,0,4,stil_2,
REWILLA,2. Koşu,6.90,1400,Kum,59.0,60.0,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:0% / stil_2:10% / stil_3:80% / stil_4:10%,0,10,80,10,10,stil_3,
ZAEDNO,2. Koşu,6.97,1200,Kum,58.0,58.2,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:20% / stil_2:40% / stil_3:40% / stil_4:0%,20,40,40,0,5,stil_2,
VICTORY CODE,2. Koşu,7.01,1200,Kum,59.0,58.9,Elazığ,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:0% / stil_2:0% / stil_3:100% / stil_4:0%,0,0,100,0,2,stil_3,
BOMBAZO,2. Koşu,7.05,1400,Kum,58.0,58.0,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:0% / stil_2:100% / stil_3:0% / stil_4:0%,0,100,0,0,1,stil_2,
İSMERİA,2. Koşu,7.09,1800,Çim,57.0,56.3,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:60% / stil_2:40% / stil_3:0% / stil_4:0%,60,40,0,0,5,stil_1,
DEDE DURSUN,2. Koşu,7.52,1400,Kum,56.7,58.0,İstanbul,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:60% / stil_2:20% / stil_3:20% / stil_4:0%,60,20,20,0,5,stil_1,
LION GOLD,2. Koşu,7.53,1900,Çim,60.0,58.0,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:17% / stil_2:50% / stil_3:25% / stil_4:8%,17,50,25,8,12,stil_2,
MR MASTER,2. Koşu,7.56,1400,Kum,56.4,58.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:0% / stil_2:0% / stil_3:100% / stil_4:0%,0,0,100,0,1,stil_3,
TENTKRAFT,2. Koşu,7.61,1400,Kum,58.0,58.7,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/2/stiller,stil_1:50% / stil_2:25% / stil_3:25% / stil_4:0%,50,25,25,0,4,stil_1,
AFTER LION,3. Koşu,6.54,1200,Kum,59.5,60.0,Diyarbakır,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:18% / stil_2:37% / stil_3:32% / stil_4:13%,18,37,32,13,38,stil_2,
CHİKYU,3. Koşu,6.59,1200,Kum,56.5,57.0,Diyarbakır,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:14% / stil_2:52% / stil_3:33% / stil_4:0%,14,52,33,0,21,stil_2,
UZUN ALİ,3. Koşu,6.71,1400,Kum,58.5,55.2,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:25% / stil_2:20% / stil_3:55% / stil_4:0%,25,20,55,0,20,stil_3,
EL INTOCABLE,3. Koşu,6.87,2000,Kum,62.5,55.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:16% / stil_2:37% / stil_3:47% / stil_4:0%,16,37,47,0,19,stil_3,
İŞKODRALI,3. Koşu,6.88,2000,Kum,60.0,58.3,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:39% / stil_2:44% / stil_3:17% / stil_4:0%,39,44,17,0,36,stil_2,
FAST FOTON,3. Koşu,7.07,1300,Kum,62.5,59.5,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:27% / stil_2:35% / stil_3:38% / stil_4:0%,27,35,38,0,26,stil_3,
SILENCE OF REALITY,3. Koşu,7.11,1400,Kum,62.5,52.0,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:23% / stil_2:49% / stil_3:28% / stil_4:0%,23,49,28,0,53,stil_2,
MY BRUNETTE ANGEL,3. Koşu,7.37,1800,Kum,61.0,60.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:41% / stil_2:24% / stil_3:35% / stil_4:0%,41,24,35,0,17,stil_1,
NOBLE CHILD,3. Koşu,7.97,2000,Kum,62.5,58.5,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:22% / stil_2:0% / stil_3:22% / stil_4:56%,22,0,22,56,9,stil_4,
GILDED REFLECTION,3. Koşu,8.60,1500,Kum,56.5,54.5,Elazığ,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:0% / stil_2:40% / stil_3:40% / stil_4:20%,0,40,40,20,10,stil_2,
ATOM AYŞE,3. Koşu,9.08,2000,Kum,57.2,54.5,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/3/stiller,stil_1:23% / stil_2:35% / stil_3:42% / stil_4:0%,23,35,42,0,31,stil_3,
AKSU BABA,4. Koşu,7.06,1200,Kum,60.0,56.9,Diyarbakır,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:0% / stil_2:0% / stil_3:50% / stil_4:50%,0,0,50,50,6,stil_3,
KÜÇÜK YUNUS,4. Koşu,7.15,1200,Kum,56.0,56.0,Diyarbakır,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:68% / stil_2:21% / stil_3:11% / stil_4:0%,68,21,11,0,19,stil_1,
ÇERMİKŞAH,4. Koşu,7.25,1200,Kum,60.5,60.5,Diyarbakır,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:19% / stil_2:24% / stil_3:48% / stil_4:10%,19,24,48,10,21,stil_3,
TOSTOS TUĞRUL,4. Koşu,7.49,1700,Kum,57.0,59.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:11% / stil_2:48% / stil_3:41% / stil_4:0%,11,48,41,0,27,stil_2,
LALIBELA,4. Koşu,7.52,1700,Kum,60.0,60.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:18% / stil_2:18% / stil_3:45% / stil_4:18%,18,18,45,18,11,stil_3,
ESRA KIZ,4. Koşu,7.53,1800,Kum,56.0,55.3,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:15% / stil_2:15% / stil_3:70% / stil_4:0%,15,15,70,0,20,stil_3,
ÇINARLI GÜZELİ,4. Koşu,7.62,1400,Sentetik,55.0,56.0,Antalya,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:6% / stil_2:17% / stil_3:72% / stil_4:6%,6,17,72,6,18,stil_3,
BELİNAY ÇİÇEĞİ,4. Koşu,7.70,1400,Kum,56.5,57.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:0% / stil_2:0% / stil_3:60% / stil_4:40%,0,0,60,40,5,stil_3,
NANDAR,4. Koşu,7.85,1800,Kum,57.0,57.5,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:67% / stil_2:11% / stil_3:11% / stil_4:11%,67,11,11,11,9,stil_1,
ADEN KRALİÇESİ,4. Koşu,8.06,1700,Kum,59.0,60.5,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:21% / stil_2:16% / stil_3:58% / stil_4:5%,21,16,58,5,19,stil_3,
İYİMSER,4. Koşu,8.07,1800,Kum,56.7,55.5,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:22% / stil_2:56% / stil_3:22% / stil_4:0%,22,56,22,0,9,stil_2,
ALKURUŞKIZI,4. Koşu,8.07,1200,Kum,56.0,58.0,Elazığ,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:11% / stil_2:42% / stil_3:47% / stil_4:0%,11,42,47,0,19,stil_3,
ÖZGÜRLÜK KRALİÇESİ,4. Koşu,8.22,1200,Kum,53.3,57.0,Elazığ,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:0% / stil_2:0% / stil_3:33% / stil_4:67%,0,0,33,67,3,stil_4,
TOYHAN BEY,4. Koşu,8.46,2000,Kum,56.5,58.6,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:0% / stil_2:44% / stil_3:56% / stil_4:0%,0,44,56,0,18,stil_3,
GÖLDERELİ,4. Koşu,8.61,2000,Kum,59.0,53.0,Elazığ,ok,https://yenibeygir.com/27-04-2026/sanliurfa/4/stiller,stil_1:0% / stil_2:0% / stil_3:69% / stil_4:31%,0,0,69,31,13,stil_3,
MR I MİRHAT,5. Koşu,6.55,1400,Kum,60.0,60.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:22% / stil_2:33% / stil_3:44% / stil_4:0%,22,33,44,0,9,stil_3,
FERZANA,5. Koşu,6.67,1300,Kum,52.0,58.4,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:62% / stil_2:31% / stil_3:8% / stil_4:0%,62,31,8,0,13,stil_1,
ZOGO AKIN,5. Koşu,6.88,1600,Kum,58.0,54.1,İzmir,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:25% / stil_2:50% / stil_3:25% / stil_4:0%,25,50,25,0,4,stil_2,
ROYALGUARD,5. Koşu,6.95,1300,Kum,58.0,57.0,İstanbul,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:100% / stil_2:0% / stil_3:0% / stil_4:0%,100,0,0,0,1,stil_1,
OĞLUM YİĞİTHAN,5. Koşu,6.99,1400,Kum,58.0,58.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:50% / stil_2:50% / stil_3:0% / stil_4:0%,50,50,0,0,2,stil_1,
PHARAON,5. Koşu,7.01,1200,Kum,58.0,52.0,Bursa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:50% / stil_2:25% / stil_3:25% / stil_4:0%,50,25,25,0,4,stil_1,
SINCERO,5. Koşu,7.12,1400,Kum,62.0,61.0,Adana,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:24% / stil_2:48% / stil_3:28% / stil_4:0%,24,48,28,0,25,stil_2,
FARAŞİN YAYLASI,5. Koşu,7.14,1400,Kum,58.0,59.5,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:50% / stil_2:50% / stil_3:0% / stil_4:0%,50,50,0,0,2,stil_1,
PEACE AMBASSADOR,5. Koşu,7.14,2000,Sentetik,58.0,55.0,Antalya,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:100% / stil_2:0% / stil_3:0% / stil_4:0%,100,0,0,0,3,stil_1,
LİON FLIGTLINE,5. Koşu,7.27,1400,Kum,60.0,60.0,Şanlıurfa,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:80% / stil_2:7% / stil_3:13% / stil_4:0%,80,7,13,0,15,stil_1,
KING GENARAL,5. Koşu,7.32,1900,Kum,58.0,58.0,Elazığ,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:0% / stil_2:80% / stil_3:20% / stil_4:0%,0,80,20,0,5,stil_2,
VITA BELLATRIX,5. Koşu,7.41,1600,Kum,55.0,58.2,İzmir,ok,https://yenibeygir.com/27-04-2026/sanliurfa/5/stiller,stil_1:50% / stil_2:0% / stil_3:50% / stil_4:0%,50,0,50,0,2,stil_1,
